Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene (pré pandemia),Custo de combustível - querosene (póspandemia),Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete (pre pandemia - QAV),Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV
Aviação Comercial,EMBRAER 170 (E170),1,2012,2013,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Luxair,São José dos Campos,Luxemburgo,9595,3982,2,"R$ 156.939,60","R$ 192.512,58","R$ 104.626,40","R$ 184.839,98","R$ 156.939,60","R$ 104.626,40"
Aviação Comercial,EMBRAER 170 (E170),3,2012,2013,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Oman Air,São José dos Campos,Omã,12076,3982,3,"R$ 209.252,80","R$ 256.683,44","R$ 139.501,87","R$ 246.453,30","R$ 627.758,41","R$ 418.505,61"
Aviação Comercial,EMBRAER 175 (E175),17,2012,2013,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Satena,São José dos Campos,Colômbia,4362,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 69.900,37","R$ 123.490,66","R$ 1.782.459,53","R$ 1.188.306,35"
Aviação Comercial,EMBRAER 175 (E175),1,2012,2013,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Binter Canarias,São José dos Campos,Espanha,8310,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 104.850,56","R$ 185.235,99","R$ 157.275,84","R$ 104.850,56"
Aviação Comercial,EMBRAER 175 (E175),1,2012,2013,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",TAME,São José dos Campos,Equador,4212,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 69.900,37","R$ 123.490,66","R$ 104.850,56","R$ 69.900,37"
Aviação Comercial,EMBRAER 175 (E175),5,2012,2013,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Air Kiribati,São José dos Campos,Quiribáti,12272,4074,3,"R$ 209.701,12","R$ 257.233,38","R$ 139.800,75","R$ 246.981,32","R$ 1.048.505,61","R$ 699.003,74"
Aviação Comercial,EMBRAER 190 (E190),25,2012,2013,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Finnair,São José dos Campos,Finlândia,11359,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 145.378,58","R$ 256.835,49","R$ 5.451.696,77","R$ 3.634.464,51"
Aviação Comercial,EMBRAER 190 (E190),17,2012,2013,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Luxair,São José dos Campos,Luxemburgo,9595,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 145.378,58","R$ 256.835,49","R$ 3.707.153,80","R$ 2.471.435,87"
Aviação Comercial,EMBRAER 190 (E190),1,2012,2013,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Arkia,São José dos Campos,Israel,10490,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 145.378,58","R$ 256.835,49","R$ 218.067,87","R$ 145.378,58"
Aviação Comercial,EMBRAER 190 (E190),2,2012,2013,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 3,00","R$ 5,30",Wideroe,São José dos Campos,Noruega,10506,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 145.378,58","R$ 256.835,49","R$ 436.135,74","R$ 290.757,16"
